Date,NIFTY_50_Close,NIFTY_AUTO_Close,NIFTY_BANK_Close,NIFTY_ENERGY_Close,NIFTY_FMCG_Close,NIFTY_IT_Close,NIFTY_METAL_Close,NIFTY_PHARMA_Close,NIFTY_PSU_BANK_Close,NIFTY_REALTY_Close,FII_Net,DII_Net,NIFTY_50_Return,NIFTY_50_30dRet,NIFTY_AUTO_Return,NIFTY_AUTO_30dRet,NIFTY_BANK_Return,NIFTY_BANK_30dRet,NIFTY_ENERGY_Return,NIFTY_ENERGY_30dRet,NIFTY_FMCG_Return,NIFTY_FMCG_30dRet,NIFTY_IT_Return,NIFTY_IT_30dRet,NIFTY_METAL_Return,NIFTY_METAL_30dRet,NIFTY_PHARMA_Return,NIFTY_PHARMA_30dRet,NIFTY_PSU_BANK_Return,NIFTY_PSU_BANK_30dRet,NIFTY_REALTY_Return,NIFTY_REALTY_30dRet,Vol_7d,Vol_30d,Vol_90d,vol_z,fii_z,Risk_Score_v2,NIFTY_AUTO_Corr_30d,NIFTY_BANK_Corr_30d,NIFTY_ENERGY_Corr_30d,NIFTY_FMCG_Corr_30d,NIFTY_IT_Corr_30d,NIFTY_METAL_Corr_30d,NIFTY_PHARMA_Corr_30d,NIFTY_PSU_BANK_Corr_30d,NIFTY_REALTY_Corr_30d,Risk_Regime
2015-01-02,8395.4501953125,8365.400390625,19057.580078125,8668.650390625,20142.650390625,11372.099609375,2715.449951171875,10955.599609375,4311.64990234375,205.1000061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,8378.400390625,8467.9501953125,19017.1796875,8651.5,20184.849609375,11248.5498046875,2704.5,10920.599609375,4281.14990234375,205.25,,,-0.0020308386436523884,,0.01225880410965452,,-0.002119911891194093,,-0.0019784383787755377,,0.002095018179417041,,-0.010864291461679332,,-0.00403246289520065,,-0.0031947133199400346,,-0.007073858196005367,,0.0007313207802086552,,,,,,,,,,,,,,,,,
2015-01-06,8127.35009765625,8248.2001953125,18430.53515625,8304.0,19863.349609375,10959.900390625,2610.449951171875,10637.7998046875,4104.60009765625,198.0500030517578,113.47,49.34,-0.029963988501869876,,-0.025950790324870354,,-0.03084813525927832,,-0.040166445125122796,,-0.015927787732967658,,-0.02566103356205207,,-0.03477539243044003,,-0.02589599608108739,,-0.0412388747683996,,-0.03507915687328711,,,,,,0.19409312867102102,,,,,,,,,,,
2015-01-07,8102.10009765625,8254.7001953125,18304.037109375,8404.900390625,19841.099609375,10916.0,2568.64990234375,10604.9501953125,4091.60009765625,197.3999938964844,75.03,52.12,-0.0031067936900222026,,0.0007880507075583854,,-0.0068635037345675665,,0.01215081775349236,,-0.0011201534704649019,,-0.004005546497717449,,-0.016012583887831333,,-0.0030880078567115943,,-0.0031671782124215175,,-0.0032820456715849655,,,,,,0.17259790623946603,,,,,,,,,,,
2015-01-08,8234.599609375,8397.2998046875,18701.18359375,8450.5,20244.150390625,11018.150390625,2609.25,10737.599609375,4164.75,203.5,,,0.016353724358093125,,0.01727495923546396,,0.021697207124410145,,0.005425359880036451,,0.020313933662202688,,0.009357859163154902,,0.015806006734979672,,0.012508254317038947,,0.01787806740586695,,0.03090175426608366,,,,,,,,,,,,,,,,,
2015-01-09,8284.5,8397.0,18637.033203125,8548.400390625,20286.650390625,,2599.10009765625,10934.5498046875,4138.7001953125,199.9499969482422,-675.32,681.93,0.006059844193054609,,-3.5702510863377945e-05,,-0.0034302850567404786,,0.01158515953198025,,0.0020993718768105296,,0.0,,-0.003889969279965544,,0.018342106474201536,,-0.006254830346959617,,-0.017444732441070365,,,,,,-0.24698950665120303,,,,,,,,,,,
2015-01-12,8323.0,8409.5498046875,18795.630859375,8463.7001953125,20517.80078125,11543.650390625,2555.199951171875,10976.2001953125,4201.14990234375,200.1999969482422,-106.78,194.75,0.004647232784114941,,0.001494558138323221,,0.008509812399937422,,-0.009908309325963538,,0.01139421176853439,,0.04769403042883957,,-0.01689051780805295,,0.0038090631410490072,,0.015089207742561506,,0.0012503125972276319,,,,,,0.07093176705421575,,,,,,,,,,,
2015-01-13,8299.400390625,8398.7998046875,18706.982421875,8374.7998046875,20603.0,11502.7998046875,2546.75,10984.2998046875,4170.4501953125,196.75,235.09,46.06,-0.002835469106692301,,-0.0012783086193279836,,-0.004716438525700473,,-0.010503726334049057,,0.0041524537477650725,,-0.003538792717655115,,-0.003306962794829338,,0.0007379247126395594,,-0.007307453374639894,,-0.01723275225191001,,0.014309208316031812,,,,0.2621016862185164,,,,,,,,,,,
2015-01-14,8277.5498046875,8427.7001953125,18603.583984375,8335.0,20455.80078125,11614.2998046875,2457.89990234375,10881.5498046875,4141.35009765625,195.1999969482422,-69.74,-223.98,-0.0026327909136885097,,0.0034410143469392196,,-0.005527264374776464,,-0.004752329084358964,,-0.0071445526743678656,,0.009693292232606066,,-0.0348876401909296,,-0.009354260337664067,,-0.006977687370288699,,-0.007878033299912657,,0.014314361093428927,,,,0.09164412498514182,,,,,,,,,,,
2015-01-15,8494.150390625,8614.7001953125,19235.427734375,8542.25,20770.0,11669.849609375,2483.14990234375,10936.2998046875,4327.0,211.4499969482422,1738.24,-527.27,0.026167234392820093,,0.022188734253267617,,0.033963549740237076,,0.024865026994601136,,0.01535990803342191,,0.004782880209884155,,0.0102729976822582,,0.005031452410980464,,0.044828352582124475,,0.08324795212117109,,0.011182347121274746,,,,1.1026465248759552,,,,,,,,,,,
